Index,Name,Email,Graduation,Grade
1,Loreto Sepúlveda Torres,A12345678@tec.mx,06/24/2021,B
2,Yessica Castillo Noguera,A12346541@tec.mx,06/24/2021,A
3,Valentín Caro García,A12345696@tec.mx,12/18/2021,C
4,Virginia Rodríquez Guerra,A12345683@tec.mx,12/18/2021,B
5,Inocencio Arreola Soto,A15833310@tec.mx,12/19/2021,B
6,Benito Ramos Félix,A20693321@tec.mx,06/22/2022,C-
7,Bernardina González Fontana,A20210921@tec.mx,06/23/2022,A
8,Gloria Mata Vázquez,A27780010@tec.mx,06/23/2022,C
9,Amaya Obando Sosa,A12433321@tec.mx,12/15/2022,B
10,Maricruz Muñoz Aquino,A44813137@tec.mx,12/15/2022,A-
